tweet_id	query	disease	created_at	screen_name	text	description	location	timezone	user_id	coordinate	tweets_per_user	posted_by	talk_about
718938939747352577	Inhaler	Asthma	2016-04-09 23:09:35	mothsaremybae	@Centre_Courf *extremely anxious and just looking terrified, has his inhaler in hand *	Moth enthusiast, massive nerd and science lover. Badass in a wheelchair who has a talent for wheely awful puns and jokes. Courf is my bae   /RP account	Mothland		3291584956		2	individual	celeb
718999806266470405	Inhaler	Asthma	2016-04-10 03:11:26	fivefooterxx	When Bob and Louise have to help Regular Sized Rudy find his inhaler in the art museum.  https://t.co/42HEBhWF6X	+ erase replace embrace new face +	Philadelphia, PA	Central Time (US & Canada)	100912468		1	individual	celeb
719536971463454722	asthma	Asthma	2016-04-11 14:45:57	blackwaterwoman	@AndersnCooper Watching nothing left unsaid, sadly, it's quite clear that Carter died from inhaled steroid induced mania, from asthma med			Eastern Time (US & Canada)	194865184	None	30	individual	celeb
720010840066301952	asthma	Asthma	2016-04-12 22:08:56	vivianahurtado	Get pumped. AndrewKinseyTV reports on 2 brothers with #asthma as part of our #cmntelethon. Your donation helps patient treatment. #do good	What I do: @WTOL11Toledo anchor. Who I am: Devoted to family #Salsera #Runner Yogi Yalie #GoldenRetriever mom. RTs = I believe in the free circulation of ideas.	Toledo, OH	Eastern Time (US & Canada)	31585203	None	1	individual	celeb
720203818827296769	asthma	Asthma	2016-04-13 10:55:45	timesjournal	Javier Avina collapsed in his school with an asthma puffer that lacked a key medication. https://t.co/3nO3aGKP6A https://t.co/awPKGOcvuZ	Your number one source for news, sports and community information in St. Thomas and Elgin county.	St. Thomas, Ontario, Canada	Eastern Time (US & Canada)	18947648	None	1	individual	celeb
720235037354950657	asthma	Asthma	2016-04-13 12:59:48	DrexOtter	@DoryuuShepherd I like to think that all the characters just have asthma and it acts up a lot. Which is why they always say, My asthma!	Toony artist with a mix of adult and general audiance art. ^^	Las Vegas, NV	Pacific Time (US & Canada)	2990635381	None	1	individual	celeb
720374801735352321	asthma	Asthma	2016-04-13 22:15:11	JSheratLFPress	Coroner: 10yo boy collapsed in #onpoli school w/ his EpiPen unused and asthma puffer that lacked key medication   https://t.co/Mj1cAd0oDP	Health Care reporter. Investigative bulldog.		Quito	66717575	None	1	individual	celeb
720808378444820480	Inhaler	Asthma	2016-04-15 02:58:04	hmumackenzie	My inhaler looks like gum https://t.co/iuIfILdgrL	//Just a 19 y/o Mexican fangirl crazy for Mackenzie Bourg// Mac followed 03/29/16		GMT-6			1	individual	celeb
720814716600201216	Inhaler	Asthma	2016-04-15 03:23:15	JBlondeau14	Don't know what's better, @JIvanyshyn trying to jump this or @JustinMetcalf11 gasping for a inhaler like a 90 year old	#2 for the Neepawa Natives -- Jarv	Neeps		259517484		1	individual	celeb
721029775133945856	asthma	Asthma	2016-04-15 17:37:49	ONTSpecialNeeds	Asthma diagnosis 'has been trivialized,' doctors say https://t.co/Ey8BciAMjw	Download the first ever #Ontario #SpecialNeeds Roadmap for School.   Please follow us for updates, tips, and encouragement. #SchoolAdvocacy #Ontario	Ontario, Canada	Eastern Time (US & Canada)	2518331167	None	1	individual	celeb
722077311311486980	Inhaler	Asthma	2016-04-18 15:00:21	KristinBeltaos	#foodallergy #asthma #death Boy Who Died From Asthma or Allergies at School Was Not Given Epi, Had Expired Inhaler https://t.co/CZQXEsQusy	Italian married to a Greek; Silly Mom of 2; MNCPD Licensed Food Allergy Trainer; Online Instructor; Consultant #foodallergy #bullying #motherhood #parenting	Minneapolis, Minnesota	Central Time (US & Canada)	332320807		2	individual	celeb
722437968502194177	Inhaler	Asthma	2016-04-19 14:53:28	ConsvInCali	@KeyWestAuthor @AHMalcolm @Mediaite Media was all-in for BHO when he called an inhaler a breathalyzer. 57 states?	Government's first duty is to protect the people, not run their lives ~ Ronald Reagan.Coolidge had it right. No DM #tcot #pjnet #WakeUpAmerica #SealOurBorders	California, USA	Pacific Time (US & Canada)	800582840		1	individual	celeb
722597122520911872	Inhaler	Asthma	2016-04-20 01:25:53	eee_babyy	wishing JR Taylor had a twitter so I could shout him out for bein da real MVP for this inhaler rn  @KrystenT920				4805252872		1	individual	celeb
723373177619910656	Inhaler	Asthma	2016-04-22 04:49:39	TrapGrandma	I just saw a fight and one of the girls stopped to take a puff of her inhaler, then she proceeded with the fight.  what is going on here?	2LEGIT2QUIT	Mars	Central Time (US & Canada)	329865981		1	individual	celeb
723768353534316544	Inhaler	Asthma	2016-04-23 06:59:57	eRaLmtz	@UnworldIy @KEEMSTAR surely you can see the humour in a greaseball asthmatic nerd having his inhaler signed at a gaming convention by Keem	Overall Leader @eRa_Eternity	Australia	Brisbane	1223665806		2	individual	celeb
718109749468864513	Inhaler	Asthma	2016-04-07 16:14:40	CoockiedoughYT	@famousdotaf you can  send me an inhaler with your logo on ? Hhaha	Ey woeshoem ik ben Ta boii VDB #TjalkFamily DAB	Achter je	Brussels	3129078579		1	individual	celeb
718454450076037122	Nebulizer	Asthma	2016-04-08 15:04:23	BaileyDerrick2	Is oneself critical that an nebulizer visibly exist fda underwritten up to one hire purchase she?: rtvkH			Kuwait	1240746872	None	221	individual	celeb
718766039211892737	Inhaler	Asthma	2016-04-09 11:42:32	GunnyMark	Lerfs not closing down, Murphy no pace looks like he needs an inhaler already	Yorkshire Born and Bred, Leeds Rhinos, Leeds United and all things Yorkshire follow me will follow back, be warned I do tweet daft stuff, twins	Northern Ireland	Dublin	634047603		1	individual	celeb
718874535479656448	Inhaler	Asthma	2016-04-09 18:53:39	Haaannaaah93	You know it's true friendship when you both take your inhaler together	Hannah|22|Glasgow|  Obsessed with lush, make up and Netflix. | Dark and twisty |	Glasgow	London	22667876		1	individual	celeb
719575915022454784	asthma	Asthma	2016-04-11 17:20:41	RondaDasheau	These Women Who Drink and Smoke May Risk Asthma  Link was less pronounced in men, research finds https://t.co/jAD9Slw18o	Single girl interested in nutritional healing, wellness, alternative medicine, organic food, Denver Broncos, Colorado Springs, traveling, Costa Rica, and love.	Denver	None	3063782647	None	6	individual	celeb
719749672475045893	asthma	Asthma	2016-04-12 04:51:08	saarugh	The only dog I have is a schnoodle and he's obese and has asthma so  https://t.co/thI2fQG4DS	stop drop and post af | vegan af | cosmetologist af | self taught mua af | E	bay area	None	2495199270	None	1	individual	celeb
719882160170278918	asthma	Asthma	2016-04-12 13:37:36	ejayculation	Always great when the tube is packed, you have trouble breathing and forgot your asthma thingy at home :-)			Greenland	387236487	None	1	individual	celeb
719889256433324033	asthma	Asthma	2016-04-12 14:05:48	ThrasherAaron	Asthma is the worst.	life isnt the breaths you take its the things that take your breath away and truth is every man dies but not every man lives.	Show Low, AZ	None	1315377048	None	1	individual	celeb
719957587345612800	Nebulizer	Asthma	2016-04-12 18:37:19	LambertsOswald	3 myths fast by la nebulizer complication vice palatial adjectival phrase: DTbz			Adelaide	1240747934	None	218	individual	celeb
720126987482869760	asthma	Asthma	2016-04-13 05:50:27	B_bro__	Feel like Ima have an anxiety and asthma attack again... Lol..	Let's get lost tonight		None	3071402335	None	1	individual	celeb
720308033138466816	asthma	Asthma	2016-04-13 17:49:52	asthmainstitute	RT @AtticStarNews: RT @Duct_Cleaners: Children with #asthma are wearing #airpollution monitors on their walks to school for new study.  htt...	Breathe easy in the 'burgh.  http://t.co/noEw0i43oe	Pittsburgh, Pennsylvania	Eastern Time (US & Canada)	116819644	None	20	individual	celeb
720816963627401216	asthma	Asthma	2016-04-15 03:32:10	mariareynlds	Here comes Thomas Jefferson Thomas Jefferson their favorite color is asbestos and they have chronic asthma now is the talent portion Thoma	hamilton  a single granola bar  (arden/ari)	irene is my eliza (they)	Pacific Time (US & Canada)	4741014555	None	2	individual	celeb
720828464060731392	Inhaler	Asthma	2016-04-15 04:17:52	WeEatingFam	You have an inhaler? Cuz I heard you got dat ass ma.	:/	myrtle beach.		2306541970		3	individual	celeb
720995528486445056	asthma	Asthma	2016-04-15 15:21:44	bobloblaw1717	@_Sheepster_ @CBCAlerts I have asthma...		suburbia	Pacific Time (US & Canada)	366243982	None	2	individual	celeb
721016858028089345	Nebulizer	Asthma	2016-04-15 16:46:29	BaileyDerrick2	Is them puffy that a nebulizer demonstrably happen to be fda acknowledged erewhile one redeem number one?: fpgWm			Kuwait	1240746872	None	221	individual	celeb
