Tweet ID	Query	Disease	Created at	Screen Name	text	Description	Location	Time Zone	User ID	coordinates	tweets per user	Posted by 	Talking about	sarcasm
740046330836472000	Fibromyalgia	Fibromyalgia	2016-06-07 05:02:49	1strongwoman4me	raindoodlie: #Repost @fibromyalgia_inspirational  Morgan Freeman suffers from fibromyalgia (you... https://t.co/A3mIBpbH7i	outgoing, loves bright, intellectual conversation,Special Ed Advocate AUTISM, #fibro #Lupus https://t.co/WaL3mrwo71	California  baby!	Pacific Time (US & Canada)	619072030			Individual	celebrity	
719526948611854000	Fibromyalgia	Fibromyalgia	2016-04-11 14:06:07	AngelinaSusan2	Fibromyalgia skittish factors - swish which are alterum?: IwyBd			Brussels	1223410880			Individual	don't know	
719534265680208000	Fibromyalgia	Fibromyalgia	2016-04-11 14:35:11	alovelyuniverse	Fibromyalgia News Today	Es ist alles lacherlich, wenn man an den Tod denkt. (T. Bernhard)	Nowhere (1997)	Amsterdam	484693626			Individual	don't know	
719553925939003000	Fibromyalgia	Fibromyalgia	2016-04-11 15:53:19	AdrielsLife	I'm just a really loyal person.  Happy Monday everyone!  #coffeeislife #momlife #fibromyalgia #spoonieproblems https://t.co/cBOt7FALmm	Sharing my life with fibromyalgia, my constant struggle to eat real, healthy food, and to live a more natural life.			2895348156			Individual	don't know	
719927872807387000	Fibromyalgia	Fibromyalgia	2016-04-12 16:39:15	apickylady	Anyone in the Los Angeles area who is suffering from fibromyalgia, there is now a clinical trial being held.  I'm... https://t.co/iy7eCM9fsr	social worker/author	moreno valley,  ca	Pacific Time (US & Canada)	37611145			Individual	don't know	
720976604537700000	Fibromyalgia	Fibromyalgia	2016-04-15 14:06:32	21stCenHealth	Microbial Origins  of Fibromyalgia https://t.co/ghaBFVrmmM #health https://t.co/roAh1UyR8x	Tweeting #health news & alternative treatment solutions. Featured alternative treatment: https://t.co/mNNsYj1mLj	Everywhere	Pacific Time (US & Canada)				Individual	don't know	
721165485446992000	Fibromyalgia	Fibromyalgia	2016-04-16 02:37:04	voon28260442	Invisible Illness, Chronic Pain, Chronic Illness, Fibromyalgia, Lupus Awareness, Endometriosis, POTS... https://t.co/twjUxSHAUs	You are great and I love you! I'm a GIRL with 5 birds and a Teddy Bear Hamster! Living in a magickal world. Love, Spirituality and Freedom.	I'm in Longueuil!		2782056436			Individual	don't know	
721585193350525000	Fibromyalgia	Fibromyalgia	2016-04-17 06:24:51	aaksgirls	Steve Broadbent https://t.co/c48uWBIejs		Kingman Az	Pacific Time (US & Canada)	413600786			Individual	don't know	
722013327413522000	Fibromyalgia	Fibromyalgia	2016-04-18 10:46:06	AngelinaSusan2	Fibromyalgia snug factors - with which are my humble self?: NCHhY			Brussels	1223410880			Individual	don't know	
722228293731238000	Fibromyalgia	Fibromyalgia	2016-04-19 01:00:18	Amyv93	Sometimes this has to happen #invisibleillness #fibromyalgia @invisibleillwk https://t.co/ejl8a7MQMw	Author of The Necklace (coming Fall 2016 through Word Alive Press). Jesus follower. Whovian. Compassion sponsor.	Saskatchewan, Canada					Individual	don't know	
722533267518460000	Fibromyalgia	Fibromyalgia	2016-04-19 21:12:09	ZlataBrouwer	How to Bow Comfortably and Fluently (with Arthritis or Fibromyalgia) | Vio https://t.co/wZz89f2k34 #violin, #viola https://t.co/gbDljV0Wqo	owner @zlatastrijk and  violin teacher at http://t.co/O66vM9XOJs and http://t.co/gC0trkLPcl	Hilversum, Netherlands	Greenland	60551479			Individual	don't know	
722791616281338000	Fibromyalgia	Fibromyalgia	2016-04-20 14:18:44	AnnaDsays	@steamjetboomer RD, gymnastics, cheerleading, ballet en pointe, fibromyalgia,and 31 lbs boy who still loves to be carried	Attorney by day. Crazy cat lady by night. And mommy! Snark-aholic. Don't mess with Texas. #UTLAW #Longhorns #Seminole #fsu (*s)--denotes sarcasm	#TEXAS	Central Time (US & Canada)	49834861			Individual	don't know	
722810675819585000	Fibromyalgia	Fibromyalgia	2016-04-20 15:34:28	_HeyMisfit_	#WCW @thruthetrees11  I love my new brain. It's so silly and I was silly before #fibromyalgia	some crazy chick with her own superhero @kevytheb ...#BPD #Fibro #EYEbelieve	Where gray doesn't exist		1873289480			Individual	don't know	
738755231043969000	Fibromyalgia	Fibromyalgia	2016-06-03 15:32:27	AlyeskaDawn	Migraine, Fibromyalgia Frequently Misdiagnosed as MS https://t.co/MWO0C3EyoG via @medscape	American Public Health Association (APHA) Keeping Health & Wellness' Prime Movers in top shape. We support public health initiatives everywhere	Anchorage, Alaska	Eastern Time (US & Canada)	396344859			Individual	don't know	
738755663031992000	Fibromyalgia	Fibromyalgia	2016-06-03 15:34:10	zobrosky	30+ experts discussing why misdiagnosis &amp; improper treatment of #fibromyalgia is rampant! https://t.co/1rUUcSvzL6 https://t.co/yHX8tfxvxO	Specialized Life/Biz Transformation Coach  EFT/LOA Certified     Creator of 'Purpose & Wealth by Design' 12 wk Intensive	Northern California	Pacific Time (US & Canada)	19728267			Individual	don't know	
738865693479870000	#fibro	Fibromyalgia	2016-06-03 22:51:23	alm4500	Tshirts/bumper stickers available https://t.co/n2DiHmPXfZ #chronicpain #invisibleillness #rsd #pots #EDS #fibro #tn https://t.co/9xxo22l5xa	I've had RSD/CRPS for 18 years. I make/design awareness pictures to spread awareness for this horrific Illness and many others. I also have a store on Zazzle.	New Jersey, USA	None	2249077726			Individual	don't know	
